name,m,n,ilp_result,ilp_mink,lp_result,lp_mink,gap,gap_percent,group
h1,4,5,1,2.0,1,2.0,0.0,0.0,1
h2,5,5,1,3.0,1,3.0,0.0,0.0,1
h3,5,6,1,3.0,1,3.0,0.0,0.0,1
h4,6,6,1,4.0,1,3.333333333,0.6666666669999999,16.666666675,1
h5,9,8,1,5.0,1,5.0,0.0,0.0,1
r10,16,37,1,5.0,1,4.857142857,0.14285714299999963,2.8571428599999926,2
r11,13,30,1,6.0,1,5.25,0.75,12.5,2
r13,76,197,1,16.0,1,14.34838844,1.6516115599999992,10.322572249999995,2
r14,33,71,1,9.0,1,8.447368421,0.5526315789999998,6.1403508777777756,2
r15,33,83,1,9.0,1,7.864321608,1.135678392,12.618648799999999,2
r16,9,18,1,3.0,1,3.0,0.0,0.0,2
r17,19,46,1,7.0,1,6.5,0.5,7.142857142857143,2
r18,170,449,1,24.0,1,18.42838888,5.57161112,23.215046333333333,2
r19,92,242,1,18.0,1,15.28146983,2.7185301699999993,15.102945388888884,2
r1,9,22,1,3.0,1,3.0,0.0,0.0,2
r20,92,241,1,17.0,1,14.87654492,2.1234550799999994,12.490912235294115,2
r23,119,376,1,20.0,1,16.23275893,3.7672410700000007,18.836205350000004,2
r24,18,47,1,6.0,1,5.444444444,0.5555555559999998,9.259259266666664,2
r29,149,444,1,22.0,1,17.712526,4.287474,19.48851818181818,2
r30,85,192,1,17.0,1,14.55750034,2.4424996599999993,14.367645058823525,2
r32,129,341,1,19.0,1,15.78557758,3.21442242,16.918012736842105,2
r33,106,314,1,19.0,1,15.86917163,3.1308283699999997,16.478044052631578,2
r34,75,181,1,16.0,1,13.9838463,2.0161537000000003,12.600960625000003,2
r35,17,34,1,6.0,1,5.0,1.0,16.666666666666668,2
r36,63,169,1,12.0,1,10.83516952,1.1648304799999991,9.70692066666666,2
r37,9,20,1,3.0,1,3.0,0.0,0.0,2
r38,17,38,1,6.0,1,6.0,0.0,0.0,2
r39,10,18,1,4.0,1,4.0,0.0,0.0,2
r3,68,179,1,14.0,1,12.96962571,1.0303742899999992,7.359816357142852,2
r41,31,81,1,9.0,1,7.714285714,1.2857142860000002,14.28571428888889,2
r43,12,31,1,4.0,1,3.4,0.6000000000000001,15.000000000000002,2
r44,12,27,1,4.0,1,3.833333333,0.16666666699999988,4.1666666749999965,2
r46,162,384,1,22.0,1,18.02095406,3.979045939999999,18.086572454545447,2
r48,101,259,1,17.0,1,14.3794354,2.6205646,15.415085882352939,2
r49,13,36,1,4.0,1,4.0,0.0,0.0,2
r4,33,65,1,9.0,1,8.5,0.5,5.555555555555555,2
r50,17,44,1,5.0,1,4.714285714,0.28571428600000015,5.714285720000003,2
r6,18,44,1,6.0,1,5.0,1.0,16.666666666666668,2
r7,91,230,1,18.0,1,15.791211,2.2087889999999994,12.271049999999995,2
r8,10,25,1,4.0,1,3.5,0.5,12.5,2
r9,10,23,1,3.0,1,3.0,0.0,0.0,2
scpe1,50,500,1,5.0,1,3.47949159,1.5205084100000001,30.410168200000005,3
scpe2,50,500,1,5.0,1,3.382076321,1.617923679,32.358473579999995,3
scpe3,50,500,1,5.0,1,3.298903245,1.701096755,34.0219351,3
scpe4,50,500,1,5.0,1,3.453984623,1.5460153769999998,30.92030754,3
scpe5,50,500,1,5.0,1,3.390832551,1.609167449,32.18334898,3
